ID,university_id,year,major,avg_major_score,student_pool_id
61,0,2011,贸易经济,632,1
62,0,2011,统计学,621,1
63,0,2011,管理科学与工程,622,1
64,0,2011,税务,628,1
65,0,2011,安全工程,618,1
66,0,2011,劳动与社会保障,616,1
67,0,2011,信息管理与信息系统,619,1
68,0,2012,贸易经济,600,1
69,0,2012,统计学,598,1
70,0,2012,税务,596,1
71,0,2012,安全工程,593,1
72,0,2013,贸易经济,572,1
73,0,2013,管理科学与工程类,571,1
74,0,2013,税收学,577,1
75,0,2013,信息管理与信息系统,571,1
76,0,2013,会计学,590,1
77,0,2015,管理科学与工程类,599,1
78,0,2015,信息管理与信息系统,602,1
79,0,2015,会计学,617,1
80,4,2011,电气信息,583,1
81,4,2011,生物科学,590,1
82,4,2011,数学,591,1
83,4,2011,信息管理与信息系统,603,1
84,4,2013,电子商务,553,1
85,4,2015,遥感科学与技术,575,1
86,4,2015,社会工作,572,1
87,4,2015,教育技术学,573,1
88,4,2015,公共事业管理,575,1
89,8,2011,法学,640,1
90,8,2011,五年制本科预防医学专业,661,1
91,8,2011,五年制本科基础医学专业,628,1
92,8,2011,五年制本科临床药学专业,645,1
93,8,2011,临床医学（基地本科班）,660,1
94,8,2011,临床医学（儿科医学方向...,661,1
95,8,2011,临床医学（五年制）,655,1
96,8,2011,临床医学,659,1
97,8,2011,中药学,627,1
98,8,2011,七年制口腔医学专业,661,1
99,8,2011,七年制临床医学专业（儿...,664,1
100,8,2011,七年制临床医学专业,645,1
101,8,2011,jsyx22,661,1
102,8,2011, 五年制本科口腔医学专...,643,1
103,8,2012,生物医学工程,597,1
104,8,2012,法学,586,1
105,8,2012,四年制本科假肢矫形工程...,567,1
106,8,2012,五年制本科预防医学专业,603,1
107,8,2012,五年制本科临床药学专业,602,1
108,8,2012,临床医学,628,1
109,8,2012,中药学,586,1
110,8,2012,jsyx22,616,1
111,8,2012, 五年制本科口腔医学专...,587,1
112,8,2013,预防医学,602,1
113,8,2013,药学,589,1
114,8,2013,护理学,583,1
115,8,2013,基础医学,604,1
116,8,2013,临床医学,615,1
117,8,2014,四年制生物医学工程,590,1
118,8,2014,四年制康复治疗学,603,1
119,8,2014,五年制预防医学,585,1
120,8,2014,五年制基础医学,629,1
121,8,2014,五年制临床药学,613,1
122,8,2014,五年制临床医学(基地本...,633,1
123,8,2014,五年制临床医学,623,1
124,8,2014,七年制临床医学,638,1
125,8,2015,长学制临床医学,635,1
126,8,2015,四年制康复治疗学,600,1
127,8,2015,五年制预防医学,608,1
128,8,2015,五年制基础医学,610,1
129,8,2015,五年制临床医学(基地本...,630,1
130,8,2015,五年制临床医学,607,1
134,13,2011,麻醉学,578,1
135,13,2011,机械设计制造及其自动化,589,1
136,13,2011,临床医学,585,1
137,13,2013,电气工程及其自动化,531,1
138,13,2013,生物技术,519,1
139,13,2013,环境科学,517,1
140,13,2013,园艺,571,1
141,13,2013,医学检验技术,520,1
142,13,2015,过程装备与控制工程,557,1
143,13,2015,电气工程及其自动化,582,1
144,13,2015,材料类,546,1
145,13,2015,机械类,557,1
146,13,2015,信息管理与信息系统,560,1
147,13,2015,临床医学,566,1
150,17,2011,金属材料工程,594,1
151,17,2011,通信工程,592,1
152,17,2011,过程装备与控制工程,590,1
153,17,2011,物流管理,599,1
154,17,2011,热能与动力工程,592,1
155,17,2011,测控技术与仪器,591,1
156,17,2011,材料成型及控制工程,611,1
157,17,2011,机械工程及自动化,601,1
158,17,2011,数学与应用数学,594,1
159,17,2011,安全工程,588,1
160,17,2011,印刷工程,592,1
161,17,2011,化学工程与工艺,594,1
162,17,2011,化学,592,1
163,17,2012,金属材料工程,566,1
164,17,2012,通信工程,567,1
165,17,2012,物流管理,566,1
166,17,2012,热能与动力工程,569,1
167,17,2012,测控技术与仪器,569,1
168,17,2012,材料成型及控制工程,573,1
169,17,2012,数学与应用数学,563,1
170,17,2012,工业工程,569,1
171,17,2012,安全工程,563,1
172,17,2012,印刷工程,563,1
173,17,2012,化学,566,1
174,17,2013,高分子材料与工程,545,1
175,17,2013,金属材料工程,528,1
176,17,2013,过程装备与控制工程,540,1
177,17,2013,能源与动力工程,535,1
178,17,2013,物流管理,530,1
179,17,2013,测控技术与仪器,532,1
180,17,2013,材料成型及控制工程,538,1
181,17,2013,机械工程,543,1
182,17,2013,数学与应用数学,529,1
183,17,2013,应用化学,528,1
184,17,2013,安全工程,528,1
185,17,2013,化学,527,1
186,17,2014,    金属材料工程,548,1
187,17,2014,    数学与应用数学,536,1
188,17,2014,    应用化学,540,1
189,17,2014,    工业工程,539,1
190,17,2014,    化学,538,1
191,17,2014,    机械工程（机械...,552,1
192,17,2014,    通信工程,552,1
193,17,2014,    过程装备与控制...,548,1
194,17,2014,    船舶与海洋工程...,536,1
195,17,2014,    能源与动力工程,545,1
196,17,2014,    环境工程,538,1
197,17,2014,    物流管理,544,1
198,17,2014,    测控技术与仪器,538,1
199,17,2015,集成电路设计与集成系统,560,1
200,17,2015,通信工程,559,1
201,17,2015,过程装备与控制工程,559,1
202,17,2015,船舶与海洋工程（游艇方...,554,1
203,17,2015,能源与动力工程,565,1
204,17,2015,环境工程,555,1
205,17,2015,物流管理,554,1
206,17,2015,测控技术与仪器,556,1
207,17,2015,材料成型及控制工程（绿...,560,1
208,17,2015,机械工程（机械制造与自...,567,1
209,17,2015,应用统计学,557,1
210,17,2015,应用化学,556,1
211,17,2015,工业工程,557,1
212,17,2015,安全工程,558,1
213,17,2015,化学,561,1
214,20,2011,车辆工程,591,1
215,20,2011,财务管理,594,1
216,20,2011,计算机科学与技术,589,1
217,20,2011,自动化,592,1
218,20,2011,网络工程,592,1
219,20,2011,给水排水工程,592,1
220,20,2011,经济学,596,1
221,20,2011,电子信息科学与技术,590,1
222,20,2011,电子信息工程,591,1
223,20,2011,电力工程与管理,592,1
224,20,2011,环境科学,589,1
225,20,2011,环境工程,603,1
226,20,2011,物流管理,592,1
227,20,2011,热能与动力工程,592,1
228,20,2011,测控技术与仪器,604,1
229,20,2011,材料成型及控制工程,606,1
230,20,2011,机械设计制造及其自动化,592,1
231,20,2011,数学与应用数学,591,1
232,20,2011,建筑电气与智能化,589,1
233,20,2011,建筑环境与设备工程,592,1
234,20,2011,建筑学,613,1
235,20,2011,市场营销,588,1
236,20,2011,工程管理,592,1
237,20,2011,工业工程,596,1
238,20,2011,安全工程,600,1
239,20,2011,城市规划,596,1
240,20,2011,土地资源管理,588,1
241,20,2011,信息与计算科学,588,1
242,20,2011,交通运输,597,1
243,20,2011,交通工程,592,1
244,20,2012,给水排水工程,571,1
245,20,2012,电子信息科学与技术,567,1
246,20,2012,电力工程与管理,569,1
247,20,2012,环境工程,569,1
248,20,2012,物流管理,569,1
249,20,2012,材料科学与工程,570,1
250,20,2012,材料成型及控制工程,569,1
251,20,2012,建筑电气与智能化,573,1
252,20,2012,建筑学,592,1
253,20,2012,工程造价,584,1
254,20,2012,工业工程,569,1
255,20,2012,土地资源管理,571,1
256,20,2012,会计学,577,1
257,20,2012,交通运输,571,1
258,20,2012,交通工程,570,1
259,20,2013,通信工程,544,1
260,20,2013,财务管理,547,1
261,20,2013,自动化,543,1
262,20,2013,网络工程,536,1
263,20,2013,给排水科学与工程,556,1
264,20,2013,电子信息科学与技术,537,1
265,20,2013,环境科学,547,1
266,20,2013,环境工程,567,1
267,20,2013,材料科学与工程,543,1
268,20,2013,材料成型及控制工程,541,1
269,20,2013,数学与应用数学,542,1
270,20,2013,建筑电气与智能化,554,1
271,20,2013,建筑环境与能源应用工程,544,1
272,20,2013,建筑学,569,1
273,20,2013,应用物理学,534,1
274,20,2013,市场营销,544,1
275,20,2013,工程造价,559,1
276,20,2013,城乡规划,544,1
277,20,2013,土木工程,559,1
278,20,2013,交通运输,537,1
279,20,2013,交通工程,536,1
280,20,2015,通信工程,567,1
281,20,2015,软件工程,560,1
282,20,2015,车辆工程,567,1
283,20,2015,计算机科学与技术,559,1
284,20,2015,自动化,552,1
285,20,2015,能源与动力工程,563,1
286,20,2015,网络工程,557,1
287,20,2015,给排水科学与工程,559,1
288,20,2015,经济学,578,1
289,20,2015,电子信息科学与技术,556,1
290,20,2015,电子信息工程,559,1
291,20,2015,环境科学,592,1
292,20,2015,环境工程,574,1
293,20,2015,测控技术与仪器,557,1
294,20,2015,材料科学与工程,558,1
295,20,2015,材料成型及控制工程,557,1
296,20,2015,数学与应用数学,554,1
297,20,2015,建筑电气与智能化,558,1
298,20,2015,建筑环境与能源应用工程,572,1
299,20,2015,建筑学,589,1
300,20,2015,应用物理学,571,1
301,20,2015,土木工程,571,1
302,20,2015,信息与计算科学,555,1
303,20,2015,交通运输,555,1
304,20,2015,交通工程,567,1
313,24,2011,财务管理,606,1
314,24,2011,计算机科学与技术,601,1
315,24,2011,经济学,606,1
316,24,2011,日语,602,1
317,24,2011,国际经济与贸易,610,1
318,24,2011,医学检验,598,1
319,24,2011,信息与计算科学,598,1
320,24,2011,人力资源管理,598,1
321,24,2011,临床医学,603,1
322,24,2012,财务管理,576,1
323,24,2012,计算机科学与技术,575,1
324,24,2012,纺织工程,563,1
325,24,2012,电气信息,580,1
326,24,2012,环境科学,568,1
327,24,2012,热能与动力工程,573,1
328,24,2012,法学,571,1
329,24,2012,材料物理,568,1
330,24,2012,服装设计与工程,581,1
331,24,2012,数字媒体艺术,566,1
332,24,2012,应用物理学,571,1
333,24,2012,应用化学,568,1
334,24,2012,工业设计,573,1
335,24,2012,国际经济与贸易,578,1
336,24,2012,医学检验,575,1
337,24,2012,化学工程与工艺,568,1
338,24,2012,信息与计算科学,564,1
339,24,2012,会计学,581,1
340,24,2012,临床医学,580,1
341,24,2013,金融学类,555,1
342,24,2013,轻化工程,545,1
343,24,2013,计算机科学与技术,546,1
344,24,2013,电气工程及其自动化,565,1
345,24,2013,材料物理,544,1
346,24,2013,服装设计与工程,547,1
347,24,2013,智能科学与技术,544,1
348,24,2013,应用物理学,544,1
349,24,2013,应用化学,544,1
350,24,2013,国际经济与贸易,547,1
351,24,2013,信息安全,548,1
352,24,2013,会计学,561,1
353,24,2013,临床医学,557,1
354,24,2015,食品科学与工程,564,1
355,24,2015,轻化工程,564,1
356,24,2015,财务管理,581,1
357,24,2015,药学,553,1
358,24,2015,自动化,569,1
359,24,2015,网络工程,564,1
360,24,2015,电气工程及其自动化,582,1
361,24,2015,物联网工程,567,1
362,24,2015,测控技术与仪器,556,1
363,24,2015,机械工程,572,1
364,24,2015,服装设计与工程,574,1
365,24,2015,智能科学与技术,564,1
366,24,2015,数学与应用数学,571,1
367,24,2015,护理学,537,1
368,24,2015,应用物理学,557,1
369,24,2015,应用化学,571,1
370,24,2015,工业设计,572,1
371,24,2015,复合材料与工程,560,1
372,24,2015,化学工程与工艺,560,1
373,24,2015,信息安全,559,1
377,27,2012,食品科学与工程,568,1
378,27,2012,通信工程,573,1
379,27,2012,软件工程,568,1
380,27,2012,资源环境与城乡规划管理,568,1
381,27,2012,计算机科学与技术,569,1
382,27,2012,英语,571,1
383,27,2012,船舶与海洋工程,571,1
384,27,2012,网络工程,566,1
385,27,2012,经济学,575,1
386,27,2012,电子科学与技术,568,1
387,27,2012,电子信息工程,571,1
388,27,2012,环境工程,568,1
389,27,2012,热能与动力工程,568,1
390,27,2012,海洋渔业科学与技术,567,1
391,27,2012,水产养殖学,557,1
392,27,2012,材料成型及控制工程,567,1
393,27,2012,机械电子工程,567,1
394,27,2012,旅游管理,569,1
395,27,2012,建筑环境与设备工程,567,1
396,27,2012,应用物理学,568,1
397,27,2012,工程管理,571,1
398,27,2012,地理信息系统,567,1
399,27,2012,国际经济与贸易,576,1
400,27,2012,动物科学,548,1
401,27,2012,动植物检疫,568,1
