ID,year,score,stu_count,rank,STUDENT_POOL_ID
0,2015,703,1,1,1
1,2015,701,1,2,1
2,2015,699,1,3,1
3,2015,698,2,5,1
4,2015,696,1,6,1
5,2015,695,2,8,1
6,2015,694,2,10,1
7,2015,693,5,15,1
8,2015,692,3,18,1
9,2015,691,1,19,1
10,2015,690,2,21,1
11,2015,689,1,22,1
12,2015,688,3,25,1
13,2015,687,7,32,1
14,2015,686,5,37,1
15,2015,685,5,42,1
16,2015,684,9,51,1
17,2015,683,9,60,1
18,2015,682,9,69,1
19,2015,681,8,77,1
20,2015,680,9,86,1
21,2015,679,13,99,1
22,2015,678,13,112,1
23,2015,677,12,124,1
24,2015,676,17,141,1
25,2015,675,18,159,1
26,2015,674,9,168,1
27,2015,673,17,185,1
28,2015,672,28,213,1
29,2015,671,19,232,1
30,2015,670,35,267,1
31,2015,669,30,297,1
32,2015,668,29,326,1
33,2015,667,27,353,1
34,2015,666,23,376,1
35,2015,665,30,406,1
36,2015,664,37,443,1
37,2015,663,39,482,1
38,2015,662,47,529,1
39,2015,661,40,569,1
40,2015,660,33,602,1
41,2015,659,54,656,1
42,2015,658,38,694,1
43,2015,657,51,745,1
44,2015,656,62,807,1
45,2015,655,56,863,1
46,2015,654,57,920,1
47,2015,653,57,977,1
48,2015,652,76,1053,1
49,2015,651,68,1121,1
50,2015,650,68,1189,1
51,2015,649,73,1262,1
52,2015,648,71,1333,1
53,2015,647,87,1420,1
54,2015,646,72,1492,1
55,2015,645,108,1600,1
56,2015,644,85,1685,1
57,2015,643,102,1787,1
58,2015,642,99,1886,1
59,2015,641,79,1965,1
60,2015,640,125,2090,1
61,2015,639,122,2212,1
62,2015,638,112,2324,1
63,2015,637,121,2445,1
64,2015,636,110,2555,1
65,2015,635,124,2679,1
66,2015,634,136,2815,1
67,2015,633,121,2936,1
68,2015,632,122,3058,1
69,2015,631,136,3194,1
70,2015,630,147,3341,1
71,2015,629,149,3490,1
72,2015,628,147,3637,1
73,2015,627,153,3790,1
74,2015,626,154,3944,1
75,2015,625,157,4101,1
76,2015,624,180,4281,1
77,2015,623,146,4427,1
78,2015,622,158,4585,1
79,2015,621,170,4755,1
80,2015,620,189,4944,1
81,2015,619,172,5116,1
82,2015,618,211,5327,1
83,2015,617,182,5509,1
84,2015,616,197,5706,1
85,2015,615,218,5924,1
86,2015,614,213,6137,1
87,2015,613,225,6362,1
88,2015,612,208,6570,1
89,2015,611,222,6792,1
90,2015,610,218,7010,1
91,2015,609,226,7236,1
92,2015,608,226,7462,1
93,2015,607,247,7709,1
94,2015,606,249,7958,1
95,2015,605,233,8191,1
